,date,month,year,instruments,volume
74,2020-03-01,3,2020,Federal Crown Corporation Bonds_Over 10 years,15916.8095
50,2020-03-01,3,2020,Federal Crown Corporation Bonds_Under 3 years,202454.396451
14,2020-03-01,3,2020,Government of Canada Bonds_3-10 years,1105875.416941
206,2020-03-01,3,2020,Government of Canada Bonds_All,79.175
26,2020-03-01,3,2020,Government of Canada Bonds_Over 10 years,418305.969272
38,2020-03-01,3,2020,Government of Canada Bonds_Real Return Bonds,228569.282891
2,2020-03-01,3,2020,Government of Canada Bonds_Under 3 years,1088055.545736
170,2020-03-01,3,2020,Mortgage Backed Securities_All,52746.47958
158,2020-03-01,3,2020,Municipal Bonds_All,3297.874
194,2020-03-01,3,2020,Other Domestic Bonds_All,72.475472
230,2020-03-01,3,2020,Other_All,11614.53624
98,2020-03-01,3,2020,Provincial Bonds_3-10 years,291172.649585
218,2020-03-01,3,2020,Provincial Bonds_All,49313.244728
110,2020-03-01,3,2020,Provincial Bonds_Over 10 years,285078.951338
86,2020-03-01,3,2020,Provincial Bonds_Under 3 years,137328.057236
183,2020-04-01,4,2020,Asset-Backed Securities_All,85.505
135,2020-04-01,4,2020,Corporate Bonds_3-10 years,14205.544095
147,2020-04-01,4,2020,Corporate Bonds_Over 10 years,748.85805
123,2020-04-01,4,2020,Corporate Bonds_Under 3 years,44749.595281
63,2020-04-01,4,2020,Federal Crown Corporation Bonds_3-10 years,192832.367334
75,2020-04-01,4,2020,Federal Crown Corporation Bonds_Over 10 years,13854.1985
51,2020-04-01,4,2020,Federal Crown Corporation Bonds_Under 3 years,138026.095967
15,2020-04-01,4,2020,Government of Canada Bonds_3-10 years,1105146.065048
207,2020-04-01,4,2020,Government of Canada Bonds_All,754.9015
27,2020-04-01,4,2020,Government of Canada Bonds_Over 10 years,436730.170614
39,2020-04-01,4,2020,Government of Canada Bonds_Real Return Bonds,123147.834544
3,2020-04-01,4,2020,Government of Canada Bonds_Under 3 years,715841.583972
171,2020-04-01,4,2020,Mortgage Backed Securities_All,67177.532289
159,2020-04-01,4,2020,Municipal Bonds_All,5868.193
195,2020-04-01,4,2020,Other Domestic Bonds_All,382.426897
231,2020-04-01,4,2020,Other_All,10360.691178
99,2020-04-01,4,2020,Provincial Bonds_3-10 years,334187.436304
219,2020-04-01,4,2020,Provincial Bonds_All,40671.351014
111,2020-04-01,4,2020,Provincial Bonds_Over 10 years,285001.776504
87,2020-04-01,4,2020,Provincial Bonds_Under 3 years,110645.546582
184,2020-05-01,5,2020,Asset-Backed Securities_All,129.813
136,2020-05-01,5,2020,Corporate Bonds_3-10 years,13690.762394
148,2020-05-01,5,2020,Corporate Bonds_Over 10 years,663.1635
124,2020-05-01,5,2020,Corporate Bonds_Under 3 years,20856.307258
64,2020-05-01,5,2020,Federal Crown Corporation Bonds_3-10 years,154866.378955
76,2020-05-01,5,2020,Federal Crown Corporation Bonds_Over 10 years,14729.183
52,2020-05-01,5,2020,Federal Crown Corporation Bonds_Under 3 years,91107.623143
16,2020-05-01,5,2020,Government of Canada Bonds_3-10 years,962031.738856
208,2020-05-01,5,2020,Government of Canada Bonds_All,52.7
